timestamp,status_code,response_time,size_bytes,url
Day 1: Simulating realistic traffic patterns
2025-08-10 22:29:32,404,0.047909,19,https://cdn.sohryuu.me/videos/video_1.mp4
2025-08-10 22:29:33,200,0.303110,3380,https://web-server-577176926733.us-central1.run.app/videos/archived
2025-08-10 22:29:33,200,0.321390,9345,https://web-server-577176926733.us-central1.run.app/videos/documentaries
2025-08-10 22:29:34,404,0.048151,19,https://cdn.sohryuu.me/videos/video_5.mp4
2025-08-10 22:29:35,404,0.283522,19,https://cdn.sohryuu.me/images/image_62.jpg
2025-08-10 22:29:35,404,0.043758,19,https://cdn.sohryuu.me/videos/video_2.mp4
2025-08-10 22:29:36,404,0.040091,19,https://cdn.sohryuu.me/images/image_4.jpg
2025-08-10 22:29:36,404,0.032121,19,https://cdn.sohryuu.me/images/image_40.jpg
2025-08-10 22:29:36,404,0.278946,19,https://cdn.sohryuu.me/videos/video_4.mp4
2025-08-10 22:29:37,200,0.333955,6698,https://web-server-577176926733.us-central1.run.app/images/popular
2025-08-10 22:29:38,404,0.057318,19,https://cdn.sohryuu.me/images/image_1.jpg
2025-08-10 22:29:38,404,0.052982,19,https://cdn.sohryuu.me/videos/video_55.mp4
2025-08-10 22:29:39,404,0.032361,19,https://cdn.sohryuu.me/videos/video_9.mp4
2025-08-10 22:29:40,200,0.319175,3380,https://web-server-577176926733.us-central1.run.app/videos/archived
2025-08-10 22:29:40,200,0.331720,9345,https://web-server-577176926733.us-central1.run.app/videos/documentaries
2025-08-10 22:29:41,200,0.355969,13443,https://web-server-577176926733.us-central1.run.app/videos/tutorials
2025-08-10 22:29:42,200,0.360596,13443,https://web-server-577176926733.us-central1.run.app/videos/tutorials
2025-08-10 22:29:43,404,0.278187,19,https://cdn.sohryuu.me/videos/video_3.mp4
2025-08-10 22:29:44,404,0.300221,19,https://cdn.sohryuu.me/images/image_10.jpg
2025-08-10 22:29:45,404,0.331646,19,https://cdn.sohryuu.me/videos/video_63.mp4
2025-08-10 22:29:46,200,0.330082,13443,https://web-server-577176926733.us-central1.run.app/videos/tutorials
2025-08-10 22:29:48,404,0.061365,19,https://cdn.sohryuu.me/videos/video_1.mp4
2025-08-10 22:29:48,404,0.038903,19,https://cdn.sohryuu.me/images/image_1.jpg
2025-08-10 22:29:48,404,0.326596,19,https://cdn.sohryuu.me/videos/video_41.mp4
2025-08-10 22:29:49,200,0.325883,13443,https://web-server-577176926733.us-central1.run.app/videos/tutorials
2025-08-10 22:29:50,200,0.333155,13443,https://web-server-577176926733.us-central1.run.app/videos/tutorials
2025-08-10 22:29:52,404,0.298280,19,https://cdn.sohryuu.me/images/image_75.jpg
2025-08-10 22:29:53,404,0.279960,19,https://cdn.sohryuu.me/videos/video_10.mp4
2025-08-10 22:29:54,404,0.037035,19,https://cdn.sohryuu.me/videos/video_41.mp4
2025-08-10 22:29:54,404,0.302032,19,https://cdn.sohryuu.me/videos/video_2.mp4
2025-08-10 22:29:55,404,0.281617,19,https://cdn.sohryuu.me/videos/video_79.mp4
2025-08-10 22:29:56,404,0.035054,19,https://cdn.sohryuu.me/images/image_1.jpg
2025-08-10 22:29:57,404,0.339333,19,https://cdn.sohryuu.me/videos/video_28.mp4
2025-08-10 22:29:58,200,0.357875,13443,https://web-server-577176926733.us-central1.run.app/videos/tutorials
2025-08-10 22:29:59,404,0.358324,19,https://cdn.sohryuu.me/images/image_85.jpg
2025-08-10 22:30:00,404,0.043921,19,https://cdn.sohryuu.me/videos/video_1.mp4
2025-08-10 22:30:00,404,0.301137,19,https://cdn.sohryuu.me/videos/video_17.mp4
